Model,Tn,Left CV,Right CV,Is Nonlinear?
MktRf,4.378738231801543,-1.4877199390066633,1.3534343521429233,True
HML,-0.12211190114251612,-1.4052447637920957,1.1572336768615472,False
SMB,4.652178933662775,-1.516611694305513,1.6036422223167976,True
nxf,9.291582579628052,-1.4681232517066434,1.3989351028383927,True
chcsho,6.219769307126096,-1.4735949036049631,1.1775742620024687,True
pm,9.834038093575083,-1.46694108067461,1.4902731757296945,True
MktRf+HML+SMB,1.984668410142514,-1.7729387216466002,1.776670013479509,True
SMB+nxf+chcsho+pm,5.104871905768266,-2.083811266534051,1.74652318221527,True
