Model,Tn,Left CV,Right CV,Is Nonlinear?
MktRf,91.57533363856626,-1.5426906225052264,1.46710691310093,True
HML,2.8557856518294202,-1.5044395328408542,1.2924091137199991,True
SMB,45.27787129823974,-1.5423907439439553,1.4570632366861591,True
nxf,66.91464066474792,-1.6672112855898757,1.5598943065826325,True
chcsho,33.369662338381396,-1.579517973955009,1.5238125786767145,True
pm,43.11400734161997,-1.5690632019789732,1.5553385836685127,True
MktRf+HML+SMB,45.693942147073365,-1.7838024380803394,1.6887653970861571,True
SMB+nxf+chcsho+pm,53.303732562947275,-2.013973371557907,1.8294238301476862,True
