Model,Tn,Left CV,Right CV,Is Nonlinear?
MktRf,2.144030939594324,-1.473822167733568,1.7781613402286607,True
HML,2.1263456681442414,-1.421866712869503,1.3633975273936387,True
SMB,-0.1851009563485484,-1.4891729241189948,1.566262863934472,False
nxf,-0.015691153421906065,-1.428575457256215,1.3860827956842252,False
chcsho,-0.5674344106455611,-1.3694959122702512,1.4282558989892133,False
pm,-0.3321314826872374,-1.461199941430916,1.7751794241518606,False
MktRf+HML+SMB,0.1528645586839736,-1.9111396002710899,1.619591318583325,False
SMB+nxf+chcsho+pm,1.114292096912485,-1.8077854342897577,1.7471066194700138,False
