Model,Tn,Left CV,Right CV,Is Nonlinear?
MktRf,-0.8964009860739315,-1.429944660868997,1.407600451782826,False
HML,0.10744565256418592,-1.3869568470046032,1.1065813295472586,False
SMB,2.1667927685755735,-1.4864935851779708,1.6648361722517666,True
nxf,0.6481491870888446,-1.4229444988435702,1.4862240785674847,False
chcsho,-0.4879186088544577,-1.372353995815623,1.2344246051086256,False
pm,0.3544169697114825,-1.4949796816188372,1.2238548797314923,False
MktRf+HML+SMB,-0.13185081983820698,-1.636947748448343,1.916765060549342,False
SMB+nxf+chcsho+pm,2.7749034055139568,-1.7419464425508526,2.1081739962139343,True
