Model,Tn,Left CV,Right CV,Is Nonlinear?
MktRf,2.144030939594324,-1.4945292545842763,1.5278042013621542,True
HML,2.1263456681442414,-1.4380890689526944,1.4070949542659488,True
SMB,-0.1851009563485484,-1.4900402328385027,1.4425743818615098,False
nxf,-0.015691153421906065,-1.425282801946237,1.3514011552786993,False
chcsho,-0.5674344106455611,-1.378304389937204,1.3048948448550868,False
pm,-0.3321314826872374,-1.4848793657336274,1.7870877487150612,False
MktRf+HML+SMB,0.1528645586839736,-1.866923305817171,1.6594912275134015,False
SMB+nxf+chcsho+pm,1.114292096912485,-1.8682773777469537,1.9256651096266184,False
