0
BAB:::
CMA:::
HML:::
HML_Devil:::
HXZ_IA:::
HXZ_ROE:::
IPO:::
LIQ_PS:::
LTR:::
MktRf:::
QMJ:::
RF:::
RMW:::
SMB:::
STR:::
UMD:::
absacc:::
acc:::
adm:::
aeavol:::
age:::
ala:::
ato:::
baspread:::
beta:::
bm_ia:::
cash:::
cashdebt:::
cashpr:::
cdi:::
cei:::
cfp:::
cfp_ia:::
chatoia:::
chcsho:::
chempia:::
chinv:::
chmom:::
chpmia:::
chtx:::
cinvest:::
cinvest_a:::
convind:::
cp:::
cto:::
currat:::
dcoa:::
dcol:::
depr:::
dfin:::
dfnl:::
dnca:::
dncl:::
dnco:::
dnoa:::
dolvol:::
dpia:::
dsti:::
dwc:::
dy:::
ear:::
ebp:::
egr:::
egr_hxz:::
em:::
ep:::
etr:::
gad:::
gma:::
grcapx:::
grltnoa:::
grltnoa_hxz:::
herf:::
hire:::
idiovol:::
ill:::
indmom:::
invest:::
ivg:::
kz:::
lev:::
lfe:::
lgr:::
maxret:::
mom36m:::
mom6m:::
moms12m:::
ms:::
ndf:::
ndp:::
nef:::
nincr:::
noa:::
nop:::
nxf:::
ob_a:::
ol:::
op:::
orgcap:::
os:::
pchcapx:::
pchcapx3:::
pchcapx_ia:::
pchcurrat:::
pchdepr:::
pchgm_pchsale:::
pchquick:::
pchsale_pchinvt:::
pchsale_pchrect:::
pchsale_pchxsga:::
pchsaleinv:::
pctacc:::
pm:::
poa:::
pps:::
pricedelay:::
ps:::
quick:::
rd:::
rdm:::
rds:::
realestate_hxz:::
retvol:::
rna:::
roaq:::
roavol:::
roic:::
rs:::
rsup:::
salecash:::
saleinv:::
salerec:::
sgr:::
sin:::
sp:::
std_dolvol:::
std_turn:::
stdacc:::
stdcf:::
sue:::
ta:::
tang:::
tb:::
turn:::
ww:::
zerotrade:::
zs:::
